"Name","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"CHI",1653,3417,112.05736025753585,29.67515364354697,53.52648522095405,0.5544013121924549,11.237928007023704,30.816505706760317,0.3646723646723647,0.36606291706387034,18.993268949370794,32.660228270412645,26.6900790166813,28.00702370500439,5.706760316066725,0.5502958579881657,0.6145374449339207,0.8307291666666666,0.3653712699514226,0.5356454118873826,0.5517002081887578,0.5863076923076923,6.20427275387767,3.745976002341235,0.06998359759431383,0.17559262510974538,0.005698005698005698
"DEN",1919,3802,109.2845870594424,28.616517622304052,54.57653866386113,0.5243373493975904,11.730668069437138,34.03471856917412,0.3446676970633694,0.3460046547711404,16.859547606522884,32.35139400315624,24.881641241451867,29.431877958968965,5.760126249342451,0.5652573529411765,0.615,0.8363228699551569,0.38409023449094687,0.5245587622731328,0.5215197387948947,0.5560032232070911,4.629142556549184,4.260915307732772,0.0780722891566265,0.15781167806417676,0.00463678516228748
"OKC",1824,3710,111.77897574123989,30.646900269541778,57.142857142857146,0.5363207547169812,12.048517520215633,32.96495956873316,0.3654946852003271,0.3675986842105263,14.339622641509434,29.380053908355794,31.91374663072776,28.544474393530997,7.601078167115903,0.4793315743183817,0.5240384615384616,0.7897091722595079,0.365839066706551,0.5117023695260948,0.5406820221358062,0.5689512799339389,5.22911051212938,3.881401617250674,0.06792452830188679,0.40431266846361186,0.012264922322158627
"CHA",1624,3205,117.7223088923557,31.70046801872075,55.44461778471139,0.5717501406865504,13.13572542901716,35.881435257410295,0.3660869565217391,0.36832895888014,14.914196567862714,35.63182527301092,27.76911076443058,33.41653666146646,5.990639625585024,0.562007874015748,0.6233624454148472,0.8479809976247031,0.3928937478647079,0.528470438957476,0.5628629996583533,0.5901665095821552,6.240249609984399,4.056162246489859,0.07315700619020822,0.28081123244929795,0.00782608695652174
"POR",2063,4315,114.6234067207416,28.088064889918886,56.407879490150634,0.4979457682826623,13.418308227114716,34.85515643105446,0.3849734042553192,0.3870320855614973,18.192352259559676,27.80996523754345,28.36616454229432,32.88528389339513,7.369640787949015,0.49504950495049505,0.5519779208831647,0.8169257340241797,0.3819197562214322,0.5270334097275273,0.5283138649060437,0.5620713305898491,5.793742757821553,6.41946697566628,0.11380443714050945,0.2549246813441483,0.007313829787234043
"MIN",1619,3472,117.10829493087557,31.192396313364057,56.19239631336406,0.5550999487442337,11.664746543778802,30.846774193548388,0.37815126050420167,0.3786316776007498,19.72926267281106,30.069124423963135,32.315668202764975,26.3536866359447,8.640552995391705,0.481994459833795,0.5240963855421686,0.7530864197530864,0.3544010589013898,0.5298222480106101,0.5593977498345467,0.5975250441956393,5.011520737327189,4.723502304147465,0.0840594566888775,0.5472350230414746,0.017740429505135387
"BOS",1898,3902,108.86724756535111,26.62737057919016,52.25525371604306,0.5095635115252575,12.762685802152742,34.59764223475141,0.3688888888888889,0.3699851411589896,17.32444900051256,25.986673500768838,27.268067657611482,30.984110712455152,7.303946694003075,0.4879692011549567,0.5422459893048128,0.8092369477911646,0.3983475951608144,0.5130279798876072,0.5269991147831219,0.5594387079692877,5.330599692465403,5.433111225012814,0.10397253555664542,0.43567401332649924,0.012592592592592593
"MEM",1720,3647,109.95338634494105,26.624622977789965,53.19440636139293,0.5005154639175258,12.777625445571703,35.81025500411297,0.3568147013782542,0.35736196319018404,18.371264052646012,26.871401151631478,26.377844803948452,31.176309295311214,7.1565670414038935,0.5046343975283213,0.5536723163841808,0.8133047210300429,0.40234134319162046,0.5268561265432099,0.514479359211337,0.5519911504424779,4.716205100082259,5.182341650671785,0.09742268041237113,0.19193857965451055,0.005359877488514548
"NOP",1899,4076,112.51226692836114,29.391560353287538,56.133464180569185,0.5236013986013986,11.89892051030422,32.53189401373896,0.36576168929110103,0.3663890991672975,18.032384690873407,28.066732090284592,30.71638861629048,27.600588812561334,8.096172718351324,0.4774624373956594,0.5139263252470799,0.7731958762886598,0.3669064748201439,0.5246258658908284,0.5327891532927505,0.5678766782695176,4.1707556427870465,4.931305201177625,0.08784965034965035,0.22080471050049066,0.006787330316742082
"LAL",1614,3394,108.69180907483795,27.754861520329992,53.18208603417796,0.5218836565096953,11.608721272834414,32.26281673541544,0.3598173515981735,0.3604757548032937,18.35592221567472,29.169121979964643,26.340601060695345,28.46199175014732,6.364172068355923,0.5254777070063694,0.565068493150685,0.817258883248731,0.3775862068965517,0.5204092605390463,0.5286206896551724,0.5675425038639876,3.889216263995286,6.393635827931644,0.12022160664819945,0.44195639363582795,0.0136986301369863
