"Name","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"BOS",807,1666,105.40216086434573,27.010804321728692,52.40096038415366,0.5154639175257731,10.56422569027611,35.17406962785114,0.3003412969283277,0.3038194444444444,19.687875150060023,25.210084033613445,28.81152460984394,25.930372148859544,5.762304921968788,0.4666666666666667,0.5084745762711864,0.8181818181818182,0.4016449623029472,0.5026855563234279,0.4893762851267992,0.5351037851037851,4.441776710684274,4.741896758703481,0.09049255441008018,0.30012004801920766,0.008532423208191127
"MIN",500,1071,108.49673202614379,29.03828197945845,54.34173669467787,0.5343642611683849,10.550887021475257,29.971988795518207,0.35202492211838005,0.353125,18.76750700280112,27.637721755368815,30.438842203548084,25.49019607843137,6.162464985994398,0.4758842443729904,0.519298245614035,0.8053097345132744,0.3554817275747508,0.5217928888888889,0.5321151716500554,0.5678466076696165,4.855275443510737,4.1083099906629315,0.07560137457044673,0.5602240896358543,0.018691588785046728
"MIA",749,1531,107.44611365120836,26.387981711299805,49.836708033964726,0.5294888597640891,12.214239059438276,38.92880470280862,0.313758389261745,0.3125,18.027433050293926,26.779882429784454,25.996080992815152,30.568256041802744,6.074461136512084,0.5074257425742574,0.597667638483965,0.8342245989304813,0.4385577630610743,0.5213376201034738,0.5036791758646063,0.5440981432360743,7.968647942521228,4.833442194644023,0.09698558322411534,0.2612671456564337,0.006711409395973154
"ATL",549,1185,117.0464135021097,29.535864978902953,56.20253164556962,0.5255255255255256,11.223628691983123,32.573839662447256,0.344559585492228,0.35278514588859416,24.303797468354432,26.666666666666668,32.40506329113924,27.088607594936708,6.582278481012659,0.4514285714285714,0.5163398692810458,0.8045112781954887,0.3669201520912547,0.526178962536023,0.5223384030418251,0.5726141078838174,7.4261603375527425,4.641350210970464,0.08258258258258258,0.16877637130801687,0.0051813471502590676
"BKN",406,858,105.82750582750583,26.923076923076923,57.34265734265734,0.4695121951219512,11.421911421911421,34.032634032634036,0.3356164383561644,0.33793103448275863,17.715617715617714,23.076923076923077,30.76923076923077,26.923076923076923,7.3426573426573425,0.42857142857142855,0.4782608695652174,0.7857142857142857,0.37244897959183676,0.5062460358056267,0.48214285714285715,0.5207373271889401,5.594405594405594,3.37995337995338,0.05894308943089431,0.2331002331002331,0.00684931506849315
"SAC",657,1343,110.12658227848101,26.8801191362621,47.87788533134773,0.5614307931570762,11.54132539091586,35.666418466120625,0.3235908141962422,0.3283898305084746,21.742367833209233,26.358897989575578,27.401340282948624,27.922561429635145,6.7014147431124345,0.4903047091412742,0.5331325301204819,0.8064516129032258,0.4269162210338681,0.5156344874100719,0.5289661319073083,0.5735408560311284,4.318689501116903,3.425167535368578,0.07153965785381027,0.37230081906180196,0.010438413361169102
"CHI",458,963,112.56490134994807,28.97196261682243,47.455867082035304,0.6105032822757112,10.59190031152648,32.29491173416407,0.3279742765273312,0.3300970873786408,22.84527518172378,34.060228452751815,23.883696780893043,27.725856697819314,4.049844236760125,0.5878136200716846,0.6431372549019608,0.8725490196078431,0.4049479166666667,0.5449340078328981,0.5625,0.6022346368715084,4.984423676012461,3.426791277258567,0.07221006564551423,0.4153686396677051,0.012861736334405145
"NYK",379,775,112.64516129032258,25.806451612903224,52.38709677419355,0.49261083743842365,13.290322580645162,34.58064516129032,0.3843283582089552,0.3843283582089552,21.161290322580644,26.580645161290324,25.032258064516128,30.580645161290324,9.290322580645162,0.515,0.553763440860215,0.7669902912621359,0.39762611275964393,0.5214011869436203,0.5259643916913946,0.5627425614489003,3.6129032258064515,4.774193548387097,0.09113300492610837,0.5161290322580645,0.014925373134328358
"CLE",481,988,102.1255060728745,26.31578947368421,51.31578947368421,0.5128205128205128,11.234817813765183,33.70445344129555,0.3333333333333333,0.33534743202416917,15.789473684210526,28.34008097165992,24.291497975708502,27.93522267206478,5.769230769230769,0.5384615384615384,0.5785123966942148,0.8288288288288288,0.3964285714285714,0.5303425059952039,0.5077380952380952,0.5413533834586466,3.6437246963562755,2.935222672064777,0.05719921104536489,0.20242914979757085,0.006006006006006006
"DET",597,1211,114.53344343517755,31.709331131296448,59.702725020644095,0.5311203319502075,11.147811725846408,29.066886870355077,0.3835227272727273,0.3868194842406877,17.671345995045417,30.883567299752272,32.535094962840624,28.73658133773741,4.706853839801816,0.4869791666666667,0.5282485875706214,0.8592592592592593,0.32744186046511625,0.5097951869158879,0.5455813953488372,0.5802364864864865,4.95458298926507,3.7985136251032205,0.0636237897648686,0.41288191577208916,0.014204545454545454
