"Name","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"MIN",523,1139,109.74539069359086,30.28972783143108,56.62862159789289,0.5348837209302325,10.09657594381036,29.41176470588235,0.34328358208955223,0.34534534534534533,18.876207199297628,30.90430201931519,29.67515364354697,25.81211589113257,4.477611940298507,0.5101449275362319,0.5659163987138264,0.8521739130434782,0.34183673469387754,0.5220916581371545,0.5280612244897959,0.5648232094288305,5.970149253731344,5.355575065847234,0.09457364341085271,0.5267778753292361,0.01791044776119403
"HOU",205,444,119.5945945945946,30.855855855855857,52.252252252252255,0.5905172413793104,11.711711711711711,34.234234234234236,0.34210526315789475,0.3443708609271523,22.74774774774775,27.027027027027028,34.68468468468468,25,10.135135135135135,0.43795620437956206,0.48,0.7115384615384616,0.3958333333333333,0.5130527486910995,0.5598958333333334,0.5981941309255079,5.405405405405405,3.6036036036036037,0.06896551724137931,0.22522522522522523,0.006578947368421052
"DAL",468,971,108.13594232749743,28.424304840370752,54.582904222451084,0.5207547169811321,11.84346035015448,35.01544799176107,0.3382352941176471,0.34124629080118696,15.756951596292481,31.513903192584962,25.334706488156538,27.80638516992791,7.72399588053553,0.5543478260869565,0.6,0.782608695652174,0.39080459770114945,0.5165792387543252,0.5155172413793103,0.5413650465356774,4.3254376930998975,3.7075180226570548,0.06792452830188679,0,0
"NOP",390,837,120.90800477897253,29.74910394265233,55.55555555555556,0.535483870967742,12.903225806451612,34.16965352449223,0.3776223776223776,0.38571428571428573,22.700119474313023,29.62962962962963,29.86857825567503,31.54121863799283,7.168458781362007,0.4979919678714859,0.5486725663716814,0.8148148148148148,0.3808255659121172,0.5208292617449665,0.5472703062583223,0.5949292452830188,5.4958183990442055,4.301075268817204,0.07741935483870968,0.11947431302270012,0.0034965034965034965
"MIL",480,1048,102.76717557251908,21.946564885496183,50.57251908396947,0.4339622641509434,13.454198473282442,38.54961832061068,0.349009900990099,0.3542713567839196,18.51145038167939,20.229007633587788,23.66412213740458,32.347328244274806,8.01526717557252,0.4608695652173913,0.5120772946859904,0.8014184397163121,0.43254817987152033,0.49944314994606265,0.4726980728051392,0.5124282982791587,4.3893129770992365,3.3396946564885495,0.0660377358490566,0.3816793893129771,0.009900990099009901
"CHA",349,727,107.01513067400275,26.68500687757909,47.31774415405777,0.563953488372093,12.792297111416781,37.689133425034385,0.33941605839416056,0.3458646616541353,15.268225584594223,28.88583218707015,24.484181568088033,33.012379642365886,5.364511691884457,0.5412371134020618,0.5769230769230769,0.8602150537634409,0.44336569579288027,0.5179800492610838,0.5396440129449838,0.5666178623718887,3.3012379642365888,4.126547455295736,0.0872093023255814,0.2751031636863824,0.0072992700729927005
"ORL",791,1590,107.35849056603773,28.30188679245283,55.22012578616352,0.5125284738041003,11.572327044025156,34.9685534591195,0.33093525179856115,0.3339382940108893,16.037735849056602,27.42138364779874,29.18238993710692,28.867924528301888,5.849056603773585,0.48444444444444446,0.5304136253041363,0.8315217391304348,0.3877266387726639,0.5133516117729502,0.5062761506276151,0.538339670468948,4.90566037735849,6.855345911949685,0.12414578587699317,0.5031446540880503,0.014388489208633094
"GSW",466,986,109.53346855983773,25.760649087221097,51.11561866125761,0.503968253968254,13.793103448275861,34.38133874239351,0.40117994100294985,0.4035608308605341,16.63286004056795,25.557809330628803,25.963488843813387,36.206896551724135,5.172413793103448,0.49606299212598426,0.5454545454545454,0.875,0.40213523131672596,0.515661414982164,0.5432977461447213,0.5779569892473119,4.665314401622718,3.8539553752535496,0.07539682539682539,0.2028397565922921,0.0058997050147492625
"BKN",731,1545,108.6084142394822,25.501618122977348,53.592233009708735,0.4758454106280193,13.527508090614887,37.799352750809064,0.3578767123287671,0.3603448275862069,17.022653721682847,23.042071197411005,27.961165048543688,32.62135922330097,7.961165048543689,0.4517766497461929,0.5100286532951289,0.8038277511961722,0.41359773371104813,0.5026200213371266,0.5010623229461756,0.5369537275064268,5.825242718446602,3.43042071197411,0.0640096618357488,0.2588996763754045,0.00684931506849315
"LAC",638,1391,107.4766355140187,27.030913012221422,54.42127965492451,0.4966974900924703,12.07764198418404,34.651329978432784,0.34854771784232363,0.3522012578616352,17.181883537023722,26.455787203450754,27.606038820992094,28.253055355859093,7.979870596693027,0.48936170212765956,0.5411764705882353,0.7797619047619048,0.3890234059725585,0.5126080016246953,0.5068603712671509,0.5425145348837209,5.176132278936017,4.02588066139468,0.07397622192866579,0.21567217828900073,0.006224066390041493
"OKC",507,1049,100.85795996186845,28.979980934223068,56.625357483317444,0.5117845117845118,8.960915157292659,31.649189704480456,0.28313253012048195,0.283987915407855,16.015252621544327,28.408007626310773,29.551954242135366,22.592945662535747,4.289799809342231,0.4901315789473684,0.5379061371841155,0.8404255319148937,0.35853131749460043,0.506921343445287,0.48056155507559395,0.5161606268364348,5.147759771210676,6.57769304099142,0.11616161616161616,0.3813155386081983,0.012048192771084338
"PHX",394,829,112.42460796139927,29.433051869722558,54.40289505428227,0.541019955654102,10.97708082026538,30.51869722557298,0.35968379446640314,0.364,20.62726176115802,29.433051869722558,29.433051869722558,23.88419782870929,9.047044632086852,0.5,0.5398230088495575,0.7252747252747253,0.359375,0.524661373390558,0.5404829545454546,0.580625,4.342581423401689,3.9806996381182147,0.07317073170731707,0,0
"NYK",493,1024,113.28125,28.125,53.90625,0.5217391304347826,11.9140625,31.4453125,0.37888198757763975,0.38125,21.2890625,30.078125,26.171875,26.3671875,9.375,0.5347222222222222,0.5703703703703704,0.7377049180327869,0.3684210526315789,0.5219433983926522,0.5389016018306636,0.5739087301587301,3.515625,5.17578125,0.09601449275362318,0.1953125,0.006211180124223602
"CHI",502,1036,104.24710424710425,26.44787644787645,50.86872586872587,0.5199240986717267,10.907335907335908,31.66023166023166,0.3445121951219512,0.34662576687116564,18.62934362934363,27.413127413127413,25.482625482625483,28.37837837837838,4.343629343629344,0.5182481751824818,0.568,0.8672566371681416,0.38362573099415204,0.5315808460634548,0.5187134502923977,0.5536082474226804,4.633204633204633,3.9575289575289574,0.0777988614800759,0.09652509652509653,0.003048780487804878
"UTA",475,990,112.22222222222223,30.80808080808081,57.97979797979798,0.5313588850174216,10.707070707070708,30.80808080808081,0.3475409836065574,0.36177474402730375,18.484848484848484,25.858585858585858,35.75757575757576,26.96969696969697,5.151515151515151,0.419672131147541,0.45229681978798586,0.839622641509434,0.34698521046643915,0.4995821387283237,0.5278725824800911,0.5648621041879469,4.444444444444445,4.646464646464646,0.08013937282229965,0.20202020202020202,0.006557377049180328
"ATL",395,824,110.4368932038835,28.033980582524272,52.42718446601942,0.5347222222222222,11.529126213592233,30.58252427184466,0.376984126984127,0.37751004016064255,19.781553398058254,28.155339805825243,27.9126213592233,26.57766990291262,8.009708737864077,0.5021645021645021,0.5420560747663551,0.7684210526315789,0.3684210526315789,0.529629441997063,0.5460526315789473,0.5833333333333334,4.12621359223301,4.004854368932039,0.0763888888888889,0.7281553398058253,0.023809523809523808
"DET",429,883,115.62853907134767,32.04983012457531,59.229898074745186,0.5411089866156787,11.211778029445073,31.370328425821064,0.3574007220216607,0.36,17.893544733861834,30.351075877689695,33.74858437146093,27.859569648924122,5.775764439411098,0.4734982332155477,0.5254901960784314,0.8282828282828283,0.34625,0.5013810539523212,0.539375,0.5724719101123595,6.342015855039637,4.416761041902605,0.0745697896749522,0.5662514156285391,0.018050541516245487
"IND",663,1391,108.19554277498203,28.684399712437095,56.793673616103526,0.5050632911392405,11.214953271028037,32.56649892163911,0.3443708609271523,0.3458980044345898,17.181883537023722,26.599568655643424,30.76923076923077,28.037383177570092,5.607476635514018,0.46365914786967416,0.5240793201133145,0.8333333333333334,0.36444086886564764,0.5093824858757061,0.5092518101367659,0.5455871626549964,6.6139468008626885,4.169662113587347,0.07341772151898734,0.21567217828900073,0.006622516556291391
"SAS",482,1008,107.63888888888889,26.686507936507937,53.07539682539682,0.502803738317757,12.59920634920635,35.714285714285715,0.3527777777777778,0.3527777777777778,16.46825396825397,27.38095238095238,25.99206349206349,32.44047619047619,5.357142857142857,0.5130111524163569,0.5822784810126582,0.8582677165354331,0.4022346368715084,0.514781109865471,0.5134078212290503,0.5410821643286573,6.349206349206349,6.25,0.11775700934579439,0.2976190476190476,0.008333333333333333
"TOR",404,832,104.6875,23.91826923076923,47.71634615384615,0.5012594458438288,12.620192307692308,40.38461538461539,0.3125,0.3153153153153153,18.990384615384617,26.923076923076923,20.91346153846154,33.53365384615385,4.326923076923077,0.5628140703517588,0.6292134831460674,0.8857142857142857,0.4583901773533424,0.5256476680384087,0.4863574351978172,0.5299877600979193,5.048076923076923,4.6875,0.0982367758186398,0.7211538461538461,0.017857142857142856
"BOS",324,667,104.94752623688156,28.635682158920538,54.72263868065967,0.5232876712328767,9.295352323838081,31.484257871064468,0.29523809523809524,0.2966507177033493,19.79010494752624,27.286356821589205,29.985007496251875,22.488755622188904,5.397301349325337,0.47643979057591623,0.5321637426900585,0.8064516129032258,0.3652173913043478,0.5073573170731708,0.49391304347826087,0.5352220520673813,5.997001499250374,5.547226386806597,0.10136986301369863,0.4497751124437781,0.014285714285714285
"LAL",864,1778,107.53655793025872,26.43419572553431,53.26209223847019,0.4963041182682154,12.598425196850394,34.25196850393701,0.367816091954023,0.36981757877280264,16.87289088863892,24.409448818897637,28.458942632170977,32.39595050618673,5.399325084364454,0.46170212765957447,0.514218009478673,0.8571428571428571,0.39138817480719795,0.5074748708010337,0.5179948586118251,0.5484429065743944,5.399325084364454,6.017997750281215,0.11298838437170011,0.1687289088863892,0.0049261083743842365
"CLE",480,999,111.41141141141141,27.32732732732733,53.653653653653656,0.5093283582089553,13.713713713713714,35.63563563563564,0.3848314606741573,0.38920454545454547,15.615615615615615,29.42942942942943,25.225225225225227,32.132132132132135,9.00900900900901,0.5384615384615384,0.5833333333333334,0.781021897810219,0.3991031390134529,0.5286830699774266,0.5364349775784754,0.5639593908629441,4.2042042042042045,5.005005005005005,0.09328358208955224,0,0
"MIA",597,1249,112.00960768614893,26.10088070456365,49.639711769415534,0.5258064516129032,12.970376301040833,37.950360288230584,0.34177215189873417,0.3432203389830508,20.89671737389912,29.303442754203363,22.89831865492394,34.10728582866293,4.803843074459568,0.5613496932515337,0.6245733788395904,0.8765432098765432,0.43327239488117003,0.518591154903758,0.520109689213894,0.565907241659886,5.2842273819055245,4.083266613290633,0.08225806451612903,0.400320256204964,0.010548523206751054
"POR",338,722,114.40443213296399,27.42382271468144,53.32409972299169,0.5142857142857142,12.326869806094184,36.149584487534625,0.34099616858237547,0.3463035019455253,22.57617728531856,25.20775623268698,29.6398891966759,27.008310249307478,9.97229916897507,0.4595959595959596,0.5260115606936416,0.7303370786516854,0.4040247678018576,0.5190118935837247,0.5131578947368421,0.5597826086956522,6.925207756232687,3.8781163434903045,0.07272727272727272,0.6925207756232687,0.019157088122605363
"WAS",690,1454,109.69738651994498,27.854195323246216,52.06327372764787,0.535006605019815,11.348005502063273,32.530949105914715,0.3488372093023256,0.3525641025641026,19.944979367262725,27.64786795048143,28.060522696011002,26.616231086657496,7.4277854195323245,0.4962962962962963,0.5417789757412399,0.7818181818181819,0.3845528455284553,0.5014086672117742,0.5304878048780488,0.5743682310469314,4.6767537826685,3.9202200825309492,0.07529722589167767,0.1375515818431912,0.004228329809725159
"MEM",455,975,107.48717948717949,26.46153846153846,54.56410256410256,0.4849624060150376,12.205128205128204,30.76923076923077,0.39666666666666667,0.40202702702702703,17.94871794871795,26.666666666666668,26.256410256410255,30.76923076923077,5.846153846153846,0.5038759689922481,0.5531914893617021,0.8403361344537815,0.3605769230769231,0.520296497584541,0.5246394230769231,0.5600858369098712,4.717948717948718,5.743589743589744,0.10526315789473684,0.10256410256410256,0.0033333333333333335
"PHI",202,432,100.46296296296296,25.694444444444443,53.00925925925926,0.4847161572052402,9.25925925925926,31.48148148148148,0.29411764705882354,0.29411764705882354,21.296296296296298,24.074074074074073,27.314814814814813,22.22222222222222,5.555555555555555,0.46846846846846846,0.5,0.8,0.3726027397260274,0.5093341095890411,0.4684931506849315,0.5155131264916468,3.240740740740741,5.555555555555555,0.10480349344978165,1.3888888888888888,0.04411764705882353
"SAC",457,928,101.83189655172414,25.754310344827587,51.939655172413794,0.495850622406639,10.02155172413793,33.189655172413794,0.30194805194805197,0.30293159609120524,20.25862068965517,25.862068965517242,25.646551724137932,23.599137931034484,6.4655172413793105,0.502092050209205,0.5429864253393665,0.7849462365591398,0.389873417721519,0.5040053865652724,0.4791139240506329,0.5275280898876404,3.8793103448275863,4.849137931034483,0.09336099585062241,0.5387931034482759,0.016233766233766232
"DEN",585,1195,110.6276150627615,28.11715481171548,53.30543933054393,0.5274725274725275,12.803347280334728,35.89958158995816,0.35664335664335667,0.3591549295774648,15.98326359832636,28.619246861924687,27.615062761506277,33.38912133891213,5.02092050209205,0.5089285714285714,0.5480769230769231,0.869281045751634,0.4024390243902439,0.5203943032015065,0.5304878048780488,0.5594732370433305,4.01673640167364,4.435146443514644,0.08320251177394035,0.2510460251046025,0.006993006993006993
