"Name","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"MIN",633,1357,112.30655858511422,23.360353721444362,45.467943994104644,0.513776337115073,15.254237288135593,42.22549742078113,0.3612565445026178,0.3631578947368421,19.82313927781872,22.402358142962417,24.318349299926307,36.03537214443626,9.727339719970523,0.4794952681388013,0.5333333333333333,0.7874396135265701,0.4815126050420168,0.5298782224094356,0.5273109243697479,0.5630096367679763,4.716285924834193,4.642593957258659,0.10210696920583469,0.4421518054532056,0.010471204188481676
"MEM",483,1044,109.19540229885058,30.555555555555557,57.37547892720306,0.5325542570951586,9.195402298850574,28.256704980842912,0.3254237288135593,0.3254237288135593,20.49808429118774,30.268199233716476,30.842911877394634,23.563218390804597,4.022988505747127,0.4952978056426332,0.5563380281690141,0.8541666666666666,0.32997762863534674,0.5195294512877939,0.5178970917225951,0.5568070519098922,6.704980842911877,5.172413793103448,0.09015025041736227,0.3831417624521073,0.013559322033898305
"BOS",670,1382,119.46454413892909,28.075253256150507,53.69030390738061,0.522911051212938,13.241678726483357,35.383502170767,0.37423312883435583,0.3804573804573805,23.589001447178003,27.785817655571634,28.364688856729376,29.088277858176557,10.636758321273517,0.4948453608247423,0.5454545454545454,0.73224043715847,0.3972380178716491,0.5162490998363338,0.5381803411860276,0.5874375446109922,5.209840810419681,5.137481910274964,0.09568733153638814,0.361794500723589,0.010224948875255624
"POR",757,1601,118.80074953154279,28.91942535915053,53.09181761399125,0.5447058823529412,13.616489693941286,37.35165521549032,0.36454849498327757,0.3663865546218487,20.112429731417865,24.359775140537163,33.4790755777639,26.420986883198,14.42848219862586,0.42116630669546434,0.46208530805687204,0.6467889908256881,0.4129834254143646,0.5177624913254685,0.5455801104972375,0.5876160990712074,5.1217988757026855,4.122423485321674,0.07764705882352942,0.18738288569643974,0.005016722408026756
"PHX",731,1536,118.81510416666667,30.6640625,55.729166666666664,0.5502336448598131,10.872395833333334,30.143229166666668,0.36069114470842334,0.36225596529284165,24.869791666666668,34.505208333333336,26.822916666666668,28.7109375,3.90625,0.5626326963906582,0.6091954022988506,0.8802395209580839,0.3510235026535254,0.5255487462006079,0.5470053070507961,0.6,4.6875,4.947916666666667,0.08878504672897196,0.5208333333333334,0.017278617710583154
"GSW",559,1182,110.4906937394247,29.018612521150594,56.34517766497462,0.515015015015015,9.72927241962775,30.11844331641286,0.32303370786516855,0.32670454545454547,23.26565143824027,35.025380710659896,23.011844331641285,23.604060913705585,5.583756345177665,0.6034985422740525,0.6489028213166145,0.808695652173913,0.34833659491193736,0.5049558505408063,0.5044031311154599,0.5515332197614992,4.060913705583756,4.314720812182741,0.07657657657657657,0.1692047377326565,0.0056179775280898875
"LAL",430,925,114.91891891891892,31.56756756756757,55.027027027027025,0.5736738703339882,9.837837837837839,30.91891891891892,0.3181818181818182,0.3215547703180212,22.27027027027027,31.35135135135135,31.783783783783782,24.64864864864865,4.864864864864865,0.4965753424657534,0.5513307984790875,0.8351648351648352,0.35974842767295595,0.5258367721518987,0.5389937106918239,0.5757906215921483,6.27027027027027,3.2432432432432434,0.05893909626719057,0.32432432432432434,0.01048951048951049
"CHI",585,1217,112.98274445357437,26.86935086277732,51.60230073952342,0.5207006369426752,13.311421528348397,36.81183237469187,0.36160714285714285,0.3624161073825503,19.309778142974526,24.65078060805259,29.087921117502056,31.306491372226787,8.627773212818406,0.45871559633027525,0.5,0.7839506172839507,0.4163568773234201,0.5412432558139535,0.5297397769516728,0.5694098088113051,4.437140509449466,5.587510271158587,0.10828025477707007,0.2465078060805259,0.006696428571428571
"BKN",639,1361,110.50698016164584,27.700220426157237,51.72667156502572,0.5355113636363636,11.535635562086702,36.29684055841293,0.31781376518218624,0.319755600814664,20.49963262307127,27.773695811903014,27.62674504041146,27.773695811903014,6.83321087435709,0.5013262599469496,0.5478260869565217,0.802547770700637,0.41235392320534225,0.5287042330259849,0.5112687813021702,0.5470116618075802,4.702424687729611,4.922850844966936,0.09517045454545454,0.5878030859662013,0.016194331983805668
"NYK",622,1276,109.71786833855799,31.739811912225704,61.36363636363637,0.5172413793103449,9.482758620689655,28.134796238244515,0.3370473537604457,0.3398876404494382,17.78996865203762,27.429467084639498,36.05015673981191,24.686520376175547,3.761755485893417,0.43209876543209874,0.4861111111111111,0.8677685950413223,0.31436077057793343,0.5223933655536028,0.5135726795096323,0.5441061670569868,7.053291536050157,5.172413793103448,0.0842911877394636,0.07836990595611286,0.002785515320334262
"MIL",597,1324,113.97280966767372,29.682779456193355,48.79154078549849,0.608359133126935,11.782477341389727,36.027190332326285,0.3270440251572327,0.3277310924369748,19.259818731117825,27.0392749244713,32.32628398791541,29.229607250755286,6.117824773413897,0.455470737913486,0.4931129476584022,0.8269230769230769,0.42475512021371326,0.5342699197860961,0.5583259127337489,0.5951816745655608,4.531722054380665,3.474320241691843,0.07120743034055728,0.3021148036253776,0.008385744234800839
